base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	F: Ident [back]	F: Ident [labial]	F: Ident [coronal]	F: Ident [dorsal]
v e k	-2.599	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	v e i	-2.494	-5.093	0.04310150465723854	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
v e k	-10.871	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	v e g i	0	-10.871	0.00013339480455026387	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j a a t	-0.245	Insert [i] at -1	j a a t i	0	-0.245	0.9425676521351198	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j a a t	-3.043	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j a a d i	0	-3.043	0.05743234786240856	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j a a t	-13.528	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j a a t	-13.384	-26.912	2.4716193253715462e-12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
j i ʧ	-0.816	Insert [i] at -1	j i ʧ i	0	-0.816	0.6376086523884771	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j i ʧ	-1.381	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j i ʤ i	0	-1.381	0.36239134724539224	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j i ʧ	-11.117	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j i ʧ	-10.977	-22.094	3.6613075898206676e-10	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
j ɯ j a p	-0.381	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j ɯ j a b i	0	-0.381	0.790675164555996	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j ɯ j a p	-1.71	Insert [i] at -1	j ɯ j a p i	0	-1.71	0.20932482229431945	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j ɯ j a p	-9.191	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j ɯ j a p	-9.102	-18.293	1.3149684646850564e-8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
j ø n ʧ	-0.911	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j ø n ʤ i	0	-0.911	0.6313470409323558	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j ø n ʧ	-1.449	Insert [i] at -1	j ø n ʧ i	0	-1.449	0.36865295383787977	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j ø n ʧ	-9.825	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j ø n ʧ	-9.695	-19.52	5.229764534339809e-9	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j o t	-0.245	Insert [i] at -1	j o t i	0	-0.245	0.9425676521351198	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j o t	-3.043	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j o d i	0	-3.043	0.05743234786240856	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j o t	-13.528	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j o t	-13.384	-26.912	2.4716193253715462e-12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
j u l u k	0	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	j u l u i	0	0	0.9343601725415248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
j u l u k	-2.656	Insert [i] at -1	j u l u k i	0	-2.656	0.0656187834209598	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j u l u k	-10.701	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	j u l u g i	0	-10.701	0.000021044037515484453	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z e l t	-0.396	Insert [i] at -1	z e l t i	0	-0.396	0.8406403063519369	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z e l t	-2.059	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	z e l d i	0	-2.059	0.15935969356501417	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z e l t	-11.784	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	z e l t	-11.65	-23.434	8.304890971108043e-11	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z i k	-2.656	Insert [i] at -1	z i k i	0	-2.656	0.9158311232194419	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z i k	-2.551	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	z i i	-2.494	-5.045	0.08400127559473128	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
z i k	-11.262	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	z i g i	0	-11.262	0.00016760118582677597	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z o r u k	0	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	z o r u i	0	0	0.9343601725415248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
z o r u k	-2.656	Insert [i] at -1	z o r u k i	0	-2.656	0.0656187834209598	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z o r u k	-10.701	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	z o r u g i	0	-10.701	0.000021044037515484453	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z y p	-0.793	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	z y b i	0	-0.793	0.8729169931325063	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z y p	-2.72	Insert [i] at -1	z y p i	0	-2.72	0.12708300669693054	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z y p	-11.647	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	z y p	-11.502	-23.149	1.705632688078351e-10	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
